City,Price,Bedrooms,Total Bathrooms,Days On Market,Listing Date,Closing Date,Days On MLS
North Bergen,"$137,800 ",1,1,38,3/17/2006,6/16/2006,38
Guttenberg,"$461,000 ",2,2,97,11/12/2004,4/20/2005,94
North Bergen,"$145,000 ",2,2,182,2/1/2007,10/23/2007,178
Hoboken,"$540,000 ",3,2,42,11/10/2009,3/16/2010,15
Bayonne,"$467,000 ",2,3,10,1/3/2006,3/10/2006,7
Hoboken,"$775,000 ",1,1,61,5/18/2005,9/16/2005,52
"JC, Heights","$160,000 ",4,2,76,2/28/2012,7/23/2012,74
Hoboken,"$375,000 ",1,1,20,10/9/2007,12/4/2007,19
Hoboken,"$405,000 ",2,2,75,3/2/2010,7/6/2010,75
Bayonne,"$265,000 ",3,1,40,1/9/2004,4/2/2004,35
North Bergen,"$239,900 ",4,3,13,11/6/2008,2/4/2009,13
Secaucus,"$483,500 ",4,2,67,3/7/2005,6/23/2005,66
Kearny,"$285,000 ",3,2,14,12/4/2006,2/7/2007,12
"JC, Downtown","$290,000 ",1,1,39,3/18/2004,6/9/2004,35
"JC, Journal Square","$390,000 ",5,3,20,4/13/2007,6/12/2007,17
"JC, Heights","$250,000 ",3,2,19,4/14/2004,5/26/2004,18
Hoboken,"$1,800,000 ",2,3,17,2/9/2007,6/1/2009,14
Weehawken,"$1,650,000 ",5,4,224,7/3/2007,4/7/2008,224
Kearny,"$235,000 ",2,2,14,1/18/2010,3/23/2010,14
Union City,"$240,000 ",1,1,68,10/21/2003,4/10/2004,62
"JC, West Bergen","$439,900 ",2,3,3,10/24/2005,3/17/2006,2
Kearny,"$255,000 ",2,2,120,5/6/2008,12/23/2008,120
Hoboken,"$500,000 ",2,2,40,8/4/2010,10/22/2010,41
North Bergen,"$295,000 ",2,2,78,5/24/2006,10/27/2006,76
Hoboken,"$360,000 ",1,1,55,8/24/2004,11/19/2004,53
Hoboken,"$465,000 ",2,2,7,9/13/2011,2/13/2012,6
Union City,"$251,000 ",2,1,2,5/27/2005,7/14/2005,0
"JC, Heights","$268,000 ",3,1,57,8/13/2007,12/10/2007,57
Kearny,"$382,500 ",3,4,22,4/8/2010,11/2/2010,22